Rank,Bus,Vol_Dev,Vol_Dev_Score,Net_Pwr_Fluct,Net_Pwr_Fluct_Score,DG_Cap,DG_Cap_Score,Total_Score
1,18,0.161022728389366,0.0692360273914225,1139.6,0.223321804054517,1100,0.321637426900585,0.614195258346525
2,32,0.0928729676437234,0.0399332156150956,292.7,0.0573589786300081,200,0.0584795321637427,0.155771726408846
3,25,0.0301478601603689,0.0129628785497211,391.4,0.0767007319295702,200,0.0584795321637427,0.148143142643034
4,30,0.0874631498651153,0.0376071198170129,239.5,0.0469336364259889,150,0.043859649122807,0.128400405365809
5,14,0.131921167210215,0.0567230330639338,172.8,0.0338627656551603,120,0.0350877192982456,0.12567351801734
6,17,0.155562885646559,0.0668884220224476,126.4,0.0247699859884969,100,0.0292397660818713,0.120898174092816
7,7,0.0665445529882027,0.0286126097820203,239.5,0.0469336364259889,150,0.043859649122807,0.119405895330816
8,31,0.091902402131759,0.0395158950228805,186.9,0.0366258732693834,120,0.0350877192982456,0.11122948759051
9,24,0.0274416037498955,0.0117992512479238,302.4,0.0592598398965304,100,0.0292397660818713,0.100298857226326
10,16,0.144054510791019,0.061940088549907,76.7,0.0150305215610578,50,0.0146198830409357,0.0915904931519004
11,8,0.0762006383166485,0.0327645018470807,166.75,0.0326771769270716,75,0.0219298245614035,0.0873715033355558
12,13,0.125741957995708,0.0540661168465015,76.7,0.0150305215610578,50,0.0146198830409357,0.083716521448495
13,15,0.137474547690764,0.0591108574842019,57.3,0.0112287990280132,30,0.0087719298245614,0.0791115863367765
14,12,0.10922759172526,0.0469653235181961,76.7,0.0150305215610578,50,0.0146198830409357,0.0766157281201896
15,10,0.102816144050636,0.0442085501653965,76.7,0.0150305215610578,50,0.0146198830409357,0.07385895476739
16,4,0.0297888491449524,0.012808512164641,153.4,0.0300610431221156,100,0.0292397660818713,0.072109321368628
17,29,0.0839663727399056,0.0361035869974889,104.9,0.0205567367895041,50,0.0146198830409357,0.0712802068279286
18,33,0.0931310682960963,0.0400441928915098,76.7,0.0150305215610578,50,0.0146198830409357,0.0696945974935033
19,9,0.0896246861002697,0.0385365301150599,76.7,0.0150305215610578,50,0.0146198830409357,0.0681869347170534
20,28,0.076806414173916,0.0330249713737516,76.7,0.0150305215610578,50,0.0146198830409357,0.0626753759757451
21,11,0.105067720918736,0.045176675841026,45.4,0.00889681458764048,25,0.00730994152046784,0.0613834319491343
22,27,0.0667452399653534,0.0286989005136834,76.7,0.0150305215610578,50,0.0146198830409357,0.0583493051156769
23,26,0.0642386739827538,0.0276211354505426,76.7,0.0150305215610578,50,0.0146198830409357,0.0572715400525361
24,6,0.062337271782227,0.0268035767359774,76.7,0.0150305215610578,50,0.0146198830409357,0.0564539813379709
25,21,0.00803684552802542,0.00345565661869475,115.05,0.0225457823415867,75,0.0219298245614035,0.047931263521685
26,5,0.0397067893195581,0.0170729957221115,76.7,0.0150305215610578,50,0.0146198830409357,0.046723400324105
27,23,0.0225676819443822,0.00970357825190934,90.8,0.017793629175281,50,0.0146198830409357,0.042117090468126
28,3,0.0198681766971086,0.00854285379323804,90.8,0.017793629175281,50,0.0146198830409357,0.0409563660094547
29,22,0.00855308050777637,0.00367762565099198,90.8,0.017793629175281,50,0.0146198830409357,0.0360911378672086
30,20,0.00739302661401653,0.00317882946260751,90.8,0.017793629175281,50,0.0146198830409357,0.0355923416788241
31,2,0.00337793722734769,0.0014524344279748,95.5,0.0187146650466887,50,0.0146198830409357,0.0347869825155992
32,19,0.00410267093968275,0.00176405306504934,66.55,0.0130414760089752,25,0.00730994152046784,0.0221154705944924
33,1,0,0,0,0,0,0,0
