Hour,P_Gen_(kW),BESS_Demand_(kW),P_Load_(kW),P_Nett_(kW),P_Loss_(kW),Q_Loss_(kVar),V_Max_(p.u.),V_Bus_Max,V_Min_(p.u.),V_Bus_Min
1,0,0,1634.6,1634.6,72.2369554699963,48.1197510107021,1,1,0.963483430275117,18
2,0,0,1448.85,1448.85,56.3790734881972,37.5521168390475,1,1,0.967748137065408,18
3,0,0,1225.95,1225.95,40.0515646926224,26.6734926390142,1,1,0.972824989029391,18
4,0,0,1151.65,1151.65,35.2527037565494,23.4765532011095,1,1,0.974507568516355,18
5,0,0,1040.2,1040.2,28.6490545097384,19.0776395330814,1,1,0.977022482713401,18
6,0,0,1225.95,1225.95,40.0515646926224,26.6734926390142,1,1,0.972824989029391,18
7,273.6,0,1857.5,1583.9,71.8596035499052,47.5334853874385,1,1,0.964436764817484,33
8,1128.6,0,2489.05,1360.45,84.8893075769441,57.586064028647,1,1,0.964487912309852,33
9,2120.4,0,2266.15,145.75,87.4024284832195,66.9138156491478,1.02557196324085,18,0.985292121445162,33
10,2838.6,0,2080.4,-758.2,145.574113355363,114.391423760338,1.05451137351071,18,0.996528928282515,25
11,3317.4,0,1968.95,-1348.45,207.930518844634,162.95233778654,1.07310027425043,18,0.999549554768647,25
12,3420,0,2080.4,-1339.6,218.298532924612,171.171791045189,1.07439644603669,18,0.999142986931369,25
13,3317.4,0,2154.7,-1162.7,201.827871186663,158.467166047422,1.06945112568492,18,0.998106426390975,25
14,2941.2,0,2080.4,-860.8,156.991392128157,123.372675402089,1.05804618381972,18,0.996992891729757,25
15,2223,0,1968.95,-254.05,89.7666065848206,70.0978956591407,1.03539161834558,18,0.993118774789181,33
16,444.6,0,2080.4,1635.8,80.8565656840521,53.4646078247195,1,1,0.962289400123416,33
17,205.2,0,2266.15,2060.95,120.069634395025,79.5995183748013,1,1,0.954194440017556,33
18,0,0,2674.8,2674.8,200.993930405429,133.97548232587,1,1,0.938995212118208,18
19,0,0,3083.45,3083.45,271.350320440147,180.920811534857,1,1,0.929073523613792,18
20,0,0,3492.1,3492.1,353.734293679709,235.914770398946,1,1,0.918967540050659,18
21,0,0,3715,3715,403.971151887441,269.460694872998,1,1,0.913373717647323,18
22,0,0,3492.1,3492.1,353.734293679709,235.914770398946,1,1,0.918967540050659,18
23,0,0,2897.7,2897.7,237.916143341715,158.609422827355,1,1,0.933605620747963,18
24,0,0,2080.4,2080.4,118.915831483147,79.2355765008586,1,1,0.953117654865041,18
